Date;Heures;Type de réserve;Sens de l'ajustement;Quantité de la réserve (en MW);Prix des offres activées (en euros/MWh)
06/12/2016;16:00 - 16:30;Réserve secondaire;A la baisse;0;73
06/12/2016;16:00 - 16:30;Réserve rapide;A la hausse;0;0
06/12/2016;16:00 - 16:30;Réserve rapide;A la baisse;485;59,8
06/12/2016;16:00 - 16:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;16:00 - 16:30;Réserve complémentaire;A la baisse;18;48,5
06/12/2016;16:30 - 17:00;Réserve primaire;A la hausse;19;73
06/12/2016;16:30 - 17:00;Réserve primaire;A la baisse;0;73
06/12/2016;16:30 - 17:00;Réserve secondaire;A la hausse;194;73
06/12/2016;16:30 - 17:00;Réserve secondaire;A la baisse;0;73
06/12/2016;16:30 - 17:00;Réserve rapide;A la hausse;83;79,1
06/12/2016;16:30 - 17:00;Réserve rapide;A la baisse;594;62
06/12/2016;16:30 - 17:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;16:30 - 17:00;Réserve complémentaire;A la baisse;15;48,5
06/12/2016;17:00 - 17:30;Réserve primaire;A la hausse;0;89,2
06/12/2016;17:00 - 17:30;Réserve primaire;A la baisse;20;89,2
06/12/2016;17:00 - 17:30;Réserve secondaire;A la hausse;177;89,2
06/12/2016;17:00 - 17:30;Réserve secondaire;A la baisse;0;89,2
06/12/2016;17:00 - 17:30;Réserve rapide;A la hausse;0;0
06/12/2016;17:00 - 17:30;Réserve rapide;A la baisse;892;71,8
06/12/2016;17:00 - 17:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;17:00 - 17:30;Réserve complémentaire;A la baisse;0;48,5
06/12/2016;17:30 - 18:00;Réserve primaire;A la hausse;5;89,2
06/12/2016;17:30 - 18:00;Réserve primaire;A la baisse;0;89,2
06/12/2016;17:30 - 18:00;Réserve secondaire;A la hausse;299;89,2
06/12/2016;17:30 - 18:00;Réserve secondaire;A la baisse;0;89,2
06/12/2016;17:30 - 18:00;Réserve rapide;A la hausse;0;0
06/12/2016;17:30 - 18:00;Réserve rapide;A la baisse;439;73,8
06/12/2016;17:30 - 18:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;17:30 - 18:00;Réserve complémentaire;A la baisse;0;48,5
06/12/2016;18:00 - 18:30;Réserve primaire;A la hausse;0;82,7
06/12/2016;18:00 - 18:30;Réserve primaire;A la baisse;6;82,7
06/12/2016;18:00 - 18:30;Réserve secondaire;A la hausse;0;82,7
06/12/2016;18:00 - 18:30;Réserve secondaire;A la baisse;231;82,7
06/12/2016;18:00 - 18:30;Réserve rapide;A la hausse;0;0
06/12/2016;18:00 - 18:30;Réserve rapide;A la baisse;446;74,9
06/12/2016;18:00 - 18:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;18:00 - 18:30;Réserve complémentaire;A la baisse;100;77,1
06/12/2016;18:30 - 19:00;Réserve primaire;A la hausse;3;82,7
06/12/2016;18:30 - 19:00;Réserve primaire;A la baisse;0;82,7
06/12/2016;18:30 - 19:00;Réserve secondaire;A la hausse;0;82,7
06/12/2016;18:30 - 19:00;Réserve secondaire;A la baisse;170;82,7
06/12/2016;18:30 - 19:00;Réserve rapide;A la hausse;0;0
06/12/2016;18:30 - 19:00;Réserve rapide;A la baisse;223;78,5
06/12/2016;18:30 - 19:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;18:30 - 19:00;Réserve complémentaire;A la baisse;100;77,1
06/12/2016;19:00 - 19:30;Réserve primaire;A la hausse;8;75,8
06/12/2016;19:00 - 19:30;Réserve primaire;A la baisse;0;75,8
06/12/2016;19:00 - 19:30;Réserve secondaire;A la hausse;240;75,8
06/12/2016;19:00 - 19:30;Réserve secondaire;A la baisse;0;75,8
06/12/2016;19:00 - 19:30;Réserve rapide;A la hausse;69;85,7
06/12/2016;19:00 - 19:30;Réserve rapide;A la baisse;0;65
06/12/2016;19:00 - 19:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;19:00 - 19:30;Réserve complémentaire;A la baisse;350;69,1
06/12/2016;19:30 - 20:00;Réserve primaire;A la hausse;0;75,8
06/12/2016;19:30 - 20:00;Réserve primaire;A la baisse;17;75,8
06/12/2016;19:30 - 20:00;Réserve secondaire;A la hausse;0;75,8
06/12/2016;19:30 - 20:00;Réserve secondaire;A la baisse;83;75,8
06/12/2016;19:30 - 20:00;Réserve rapide;A la hausse;132;87,2
06/12/2016;19:30 - 20:00;Réserve rapide;A la baisse;0;65
06/12/2016;19:30 - 20:00;Réserve complémentaire;A la hausse;0;88
06/12/2016;19:30 - 20:00;Réserve complémentaire;A la baisse;350;68,8
06/12/2016;20:00 - 20:30;Réserve primaire;A la hausse;13;70,2
06/12/2016;20:00 - 20:30;Réserve primaire;A la baisse;0;70,2
06/12/2016;20:00 - 20:30;Réserve secondaire;A la hausse;0;70,2
06/12/2016;20:00 - 20:30;Réserve secondaire;A la baisse;13;70,2
06/12/2016;20:00 - 20:30;Réserve rapide;A la hausse;394;81,5
06/12/2016;20:00 - 20:30;Réserve rapide;A la baisse;127;53,5
06/12/2016;20:00 - 20:30;Réserve complémentaire;A la hausse;0;88
06/12/2016;20:00 - 20:30;Réserve complémentaire;A la baisse;350;50,2
06/12/2016;20:30 - 21:00;Réserve primaire;A la hausse;0;70,2
06/12/2016;20:30 - 21:00;Réserve primaire;A la baisse;18;70,2
06/12/2016;20:30 - 21:00;Réserve secondaire;A la hausse;0;70,2
06/12/2016;20:30 - 21:00;Réserve secondaire;A la baisse;410;70,2
06/12/2016;20:30 - 21:00;Réserve rapide;A la hausse;499;78,8
06/12/2016;20:30 - 21:00;Réserve rapide;A la baisse;0;43,3
06/12/2016;20:30 - 21:00;Réserve complémentaire;A la hausse;0;88
